index,adr_department_name,adr_province_name,adr_district_name,OTROS,OTROS_BBVA,OTROS_BCP,OTROS_IBK,OTROS_NO PARTICIPANTES,OTROS_OTROS,OTROS_SCO,PRODUCTO PN,PRODUCTO PN_BBVA,PRODUCTO PN_BCP,PRODUCTO PN_IBK,PRODUCTO PN_NO PARTICIPANTES,PRODUCTO PN_OTROS,PRODUCTO PN_SCO,PRODUCTO PYME,PRODUCTO PYME_BBVA,PRODUCTO PYME_BCP,PRODUCTO PYME_IBK,PRODUCTO PYME_NO PARTICIPANTES,PRODUCTO PYME_OTROS,PRODUCTO PYME_SCO
1072,ICA,ICA,SAN JUAN BAUTISTA,159829,3820962,1950023,640178,24555164,5016995,1528920,,2666291,3269683,4223286,12804287,6197041,1645055,4777,960448,808046,280824,10287873,1299923,708277
1073,ICA,ICA,SANTIAGO,668505,8020634,7144930,4598182,108599628,11389625,3878589,160,8814679,9157791,13489844,42033745,17467109,5668184,60147,318580,2414688,248357,48612173,5470380,169363
1074,ICA,ICA,SUBTANJALLA,877775,9908655,11438454,10708997,114181648,21144647,22924889,,27769006,23881695,31696992,61540122,36936857,12103723,166656,1214240,2303465,188728,38055472,4447658,434834
1075,ICA,ICA,TATE,164037,500787,1691876,442215,21151821,1619253,421028,,2206506,2381672,2363659,9036928,3300456,740691,,440112,239255,,6587545,1089136,111477
1076,ICA,ICA,YAUCA DEL ROSARIO,37719,2437293,1199401,41499,8639596,556146,236720,,689992,496104,689291,2258597,818162,270379,,677647,937929,,3190265,347800,43121
1077,ICA,NAZCA,CHANGUILLO,39362,11813,141053,417595,13156923,367177,794981,,177658,553501,773079,3355596,773201,184702,,,242283,,4853484,321952,
1078,ICA,NAZCA,EL INGENIO,43922,131804,949985,135525,13636222,1083291,1576723,214,318573,1268316,2008174,3586527,1130660,537582,21345,51456,596964,,8070600,801585,690008
1079,ICA,NAZCA,MARCONA,246449,5384624,27700505,19146514,60921396,9204465,4716532,1984,10601294,47200747,49601799,30372459,22452905,5903740,12199,158880,5238289,506581,23156034,1437355,60709
1080,ICA,NAZCA,NAZCA,669355,30531869,50652821,11966959,149881828,18443202,19882770,13734,18845958,45167830,45592282,62196923,26788122,10801210,157231,3732460,12358800,546176,75227954,11296981,729199
1081,ICA,NAZCA,VISTA ALEGRE,507222,1870330,14339294,3717813,90258395,8742646,3986654,2110,5129598,18080307,16029038,33112573,10254201,2899580,60326,288666,6533100,,49155186,7075652,335917
1082,ICA,PALPA,LLIPATA,15620,8434,191670,135901,11366678,172973,645113,,248366,560281,819097,2353625,843839,563055,,,125538,,4237003,114,
1083,ICA,PALPA,PALPA,163725,1694974,1817760,1409318,55318014,4769845,1255859,,1949417,3247106,5567575,15888961,7872786,2286253,30215,20000,539958,,20880206,463684,
1084,ICA,PALPA,RÍO GRANDE,53292,56076,210249,310591,14225675,807899,319074,,350738,427407,955977,4391833,1533907,250321,,,376968,,7592286,532416,
1085,ICA,PALPA,SANTA CRUZ,14786,18131,250025,100835,10551533,604024,45930,,158485,405782,652122,1900508,836557,5831,,,10537,,3826165,175356,
1086,ICA,PALPA,TIBILLO,28911,2218,5243,28454,2403220,345398,22307,,18600,109444,47800,442494,127704,8355,,,30968,,1373792,219894,
1087,ICA,PISCO,HUANCANO,78321,114293,307142,45250,11089600,1189832,671456,,511767,807308,559650,2311428,568371,438882,,,56143,,3758586,947379,407527
1088,ICA,PISCO,HUMAY,42851,116578,712090,406070,38587493,2008052,1045781,,1447852,3188349,1562077,6031113,1756954,954149,2783,,476931,,11067568,2664831,204580
1089,ICA,PISCO,INDEPENDENCIA,285073,2006939,2081797,984749,90944882,8686192,1554185,2176,3536151,6491380,4269784,12115829,4375507,2193933,34014,,864558,22688,22268065,7034196,94641
1090,ICA,PISCO,PARACAS,147174,13887733,7295875,1573557,35264856,8647988,4844114,,5131483,9477179,4911616,9468498,4538364,2107349,7433,5267677,2022467,,14022058,5962952,32268
1091,ICA,PISCO,PISCO,2198489,49389207,83102508,32193838,396599030,63115782,75276256,5991,94329197,128274250,98046402,134065072,79362841,48478553,259961,3718109,12798122,893571,77615519,28199086,3934273
1092,ICA,PISCO,SAN ANDRES,448730,11312990,8567522,2656129,90024297,11285401,4259828,336,12087148,15378173,11924202,22355591,13241483,6898454,45771,3581818,1249802,,19953268,6781079,290101
1093,ICA,PISCO,SAN CLEMENTE,523810,19147747,11805547,1875618,107315995,17935366,6243529,,14457663,19659449,13860170,31803606,12532224,4471113,126643,3206760,4386723,38822,32909448,11193880,1504766
1094,ICA,PISCO,TUPAC AMARU INCA,458109,3287985,5242597,2180992,66849348,8274390,4514737,,13217991,15390997,10769492,21833598,8431276,4953024,56862,78524,1350600,143932,17412955,4705007,310384
1095,JUNÍN,CHANCHAMAYO,CHANCHAMAYO,1079030,66221694,43422816,11855003,208493290,29771925,30505607,,56064584,30789841,37025974,67495828,18542788,27833901,127505,7683647,16348607,727326,79593680,16733959,2147230
1096,JUNÍN,CHANCHAMAYO,PERENÉ,770218,6379691,13357051,869988,256157700,23038880,5649393,,13144583,12321767,6693623,36542043,5973774,4162086,182086,1261828,6651037,189950,103605224,16153056,1647614
1097,JUNÍN,CHANCHAMAYO,PICHANAQUI,682105,34063726,36920903,2492594,332183204,33103204,15088547,,25691729,30577530,11541831,43429929,8656178,6610619,121141,5423686,16791089,392466,119768056,25861680,4028443
1098,JUNÍN,CHANCHAMAYO,SAN LUIS DE SHUARO,43805,181540,126352,366680,19545463,2291891,228557,,1480694,1257067,575517,3843843,689811,385964,7601,,150032,,7664638,1530158,
1099,JUNÍN,CHANCHAMAYO,SAN RAMÓN,955619,15928588,30526774,7094221,121116940,18947375,17446560,,29324554,21441826,17902306,43435499,10408743,10881806,65089,601255,8926576,64559,43760820,11881114,1975002
1100,JUNÍN,CHANCHAMAYO,VITOC,44117,276352,533744,350810,5336978,1263399,118443,,1052289,1296567,222855,1524898,450282,693920,1325,,3157,,2078643,589471,
1101,JUNÍN,CHUPACA,AHUAC,195186,684480,1638805,766854,22460166,4283766,722347,,3180677,1579911,3458522,9647338,2020043,810665,992,,888804,,12082342,3077275,
1102,JUNÍN,CHUPACA,CHONGOS BAJO,107196,126246,428928,51649,13848114,2134036,187853,,1279809,973234,888616,3792661,1136427,906640,,,352297,,8817155,1192658,
1103,JUNÍN,CHUPACA,CHUPACA,831624,4918975,7993682,3267863,130569186,16555157,7607473,,18181550,14079439,14922542,44747903,16871683,9022235,40535,1009629,2473577,84414,68380700,12330989,779289
1104,JUNÍN,CHUPACA,HUACHAC,101283,277577,387579,252733,9244863,1390869,71509,,719632,854922,815059,3201214,1043399,203407,35051,,37866,48380,4701580,728609,
1105,JUNÍN,CHUPACA,HUAMANCACA CHICO,208358,510585,1350739,1275281,25236774,5210544,1792496,,3783167,1913255,3502158,7786621,2950223,2715955,1105,,120777,,16673520,3618720,
1106,JUNÍN,CHUPACA,SAN JUAN DE JARPA,6652,75644,39631,14840,7103705,1415205,95826,,578648,527862,360863,1644342,244090,285280,,,11,,5304936,1156832,340
1107,JUNÍN,CHUPACA,SAN JUAN DE YSCOS,39169,166723,168329,346741,9619076,1115427,77434,,908776,713150,1076320,2899420,838770,768506,,,8655,,5995518,1001781,
1108,JUNÍN,CHUPACA,TRES DE DICIEMBRE,45255,47802,218347,695701,12799480,1773976,75559,,1665533,708606,1408237,4322915,1314067,649541,1200,,234959,111652,6544968,1871150,
1109,JUNÍN,CHUPACA,YANACANCHA,,24813,100096,8528,9305296,626178,125155,,121783,186502,201833,1234421,151333,225626,,,,,6670456,581286,69813
1110,JUNÍN,CONCEPCIÓN,ACO,14156,18617,247242,218746,6318942,452761,125740,,256043,449564,434456,1076027,361392,57636,,,11478,,3867407,546899,
1111,JUNÍN,CONCEPCIÓN,ANDAMARCA,56425,7393,17153,2736,8575500,1039933,68206,,191095,512142,108900,1686649,192527,491005,,,11274,,4351787,765435,
1112,JUNÍN,CONCEPCIÓN,CHAMBARÁ,131532,85415,299505,534819,8943990,1270349,99957,,523967,566632,987860,2476789,451877,723615,55075,,81883,,5007260,1112403,
1113,JUNÍN,CONCEPCIÓN,COCHAS,12989,769714,94242,5887,10080833,746584,29636,,94767,283818,30520,622210,116778,67,,,,,3599982,564630,
1114,JUNÍN,CONCEPCIÓN,COMAS,89877,113489,627903,49614,29240946,3270536,281529,,801536,860868,742664,3677843,891275,336479,55643,39309,115570,,15046242,3055762,
1115,JUNÍN,CONCEPCIÓN,CONCEPCIÓN,712878,5960532,14214502,4355728,90102937,14675602,7054757,5935,15384881,16300169,18584504,36696712,16553446,7236090,154504,93412,5053699,16322,45060580,11210700,425204
1116,JUNÍN,CONCEPCIÓN,HEROINAS TOLEDO,62989,29171,799986,52948,5421992,799695,962468,,327245,465063,102932,663371,128954,8889,2694,,685548,,2928921,473293,273227
1117,JUNÍN,CONCEPCIÓN,MANZANARES,15998,11948,330091,15054,6021014,829079,65958,,627266,948019,618511,1948987,610540,671933,,,,,3523031,704629,
1118,JUNÍN,CONCEPCIÓN,MARISCAL CASTILLA,11574,56887,84416,809278,21707035,337858,39830,,40756,113180,1057967,1216445,184528,45015,,,,,5025069,908801,
1119,JUNÍN,CONCEPCIÓN,MATAHUASI,295062,762261,1028838,1415365,21990236,3816756,1144702,,2420410,2608601,3857739,6285982,2763491,1498737,64168,89536,357185,,11811786,3148260,
1120,JUNÍN,CONCEPCIÓN,MITO,6851,733377,429797,58406,10837055,555581,1062655,,795055,379993,552340,2369401,1067292,319652,,196404,269949,,5701547,519618,419999
1121,JUNÍN,CONCEPCIÓN,NUEVE DE JULIO,54579,353415,184934,298046,6922411,1489110,1343177,,660916,482167,709691,2083642,636967,243950,23371,,,,3591027,1314215,
