cluster,lat,lon,canal,codigo,transacciones,departamento,provincia,distrito,n_puntos,codigos_agrupados,transacciones_agrupadas,diagnostico
58,-8.102946600000001,-79.01167059999999,agente,NEW_AGENTE_00058,342.5,LA LIBERTAD,TRUJILLO,TRUJILLO,5,BV00015580|BV00015872|BV00003172|BV00016251|BV00017423,2.0|4.0|69.0|131.5|136.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=342 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015580, BV00015872, BV00003172, BV00016251, BV00017423."", ""Insertar 1 punto consolidado en el centroide (lat=-8.102947, lon=-79.011671).""]"
59,-13.712899799999999,-76.20553520000001,agente,NEW_AGENTE_00059,42.0,ICA,PISCO,PISCO,5,BV00014478|BV00016307|BV00017675|BV00014865|BV00011152,2.0|2.5|4.0|8.5|25.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=42 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014478, BV00016307, BV00017675, BV00014865, BV00011152."", ""Insertar 1 punto consolidado en el centroide (lat=-13.712900, lon=-76.205535).""]"
60,-11.9678158,-76.9996328,agente,NEW_AGENTE_00060,54.5,LIMA,LIMA,SAN JUAN DE LURIGANCHO,5,BV00012896|BV00012640|BV00016713|BV00011366|BV00017534,2.0|2.5|4.5|7.0|38.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=54 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012896, BV00012640, BV00016713, BV00011366, BV00017534."", ""Insertar 1 punto consolidado en el centroide (lat=-11.967816, lon=-76.999633).""]"
61,-11.8642808,-77.0775746,agente,NEW_AGENTE_00061,67.0,LIMA,LIMA,PUENTE PIEDRA,5,BV00012612|BV00016594|BV00017095|BV00014852|BV00010208,2.0|6.0|8.5|9.0|41.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=67 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012612, BV00016594, BV00017095, BV00014852, BV00010208."", ""Insertar 1 punto consolidado en el centroide (lat=-11.864281, lon=-77.077575).""]"
62,-12.07347,-76.984205,agente,NEW_AGENTE_00062,318.0,LIMA,LIMA,ATE,5,BV00012043|BV00004164|BV00005137|BV00015275|BV00016104,2.0|45.0|72.5|92.0|106.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=318 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012043, BV00004164, BV00005137, BV00015275, BV00016104."", ""Insertar 1 punto consolidado en el centroide (lat=-12.073470, lon=-76.984205).""]"
63,-12.072613,-77.10867920000001,agente,NEW_AGENTE_00063,258.0,CALLAO,CALLAO,LA PERLA,5,BV00011518|BV00013491|BV00017216|BV00003168|BV00017447,2.0|28.5|39.0|86.5|102.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=258 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011518, BV00013491, BV00017216, BV00003168, BV00017447."", ""Insertar 1 punto consolidado en el centroide (lat=-12.072613, lon=-77.108679).""]"
64,-13.414325999999999,-76.13223599999999,agente,NEW_AGENTE_00064,201.0,ICA,CHINCHA,CHINCHA ALTA,5,BV00009252|BV00013904|BV00017258|BV00005172|BV00010106,2.0|44.5|47.0|49.0|58.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=201 ≤ 2,000)."", ""Retirar/absorber códigos: BV00009252, BV00013904, BV00017258, BV00005172, BV00010106."", ""Insertar 1 punto consolidado en el centroide (lat=-13.414326, lon=-76.132236).""]"
65,-12.039305000000002,-76.9391634,agente,NEW_AGENTE_00065,37.5,LIMA,LIMA,ATE,5,BV00007405|BV00016602|BV00017707|BV00012894|BV00017555,2.0|2.5|2.5|9.5|21.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=38 ≤ 2,000)."", ""Retirar/absorber códigos: BV00007405, BV00016602, BV00017707, BV00012894, BV00017555."", ""Insertar 1 punto consolidado en el centroide (lat=-12.039305, lon=-76.939163).""]"
66,-18.0107558,-70.2450908,agente,NEW_AGENTE_00066,36.0,TACNA,TACNA,TACNA,5,BV00006266|BV00012930|BV00016111|BV00014645|BV00006528,2.0|4.0|5.0|11.5|13.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=36 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006266, BV00012930, BV00016111, BV00014645, BV00006528."", ""Insertar 1 punto consolidado en el centroide (lat=-18.010756, lon=-70.245091).""]"
67,-12.293826,-76.853283,agente,NEW_AGENTE_00067,1520.5,LIMA,LIMA,LURIN,4,BV00017297|BV00007298|BV00009445|BV00010725,2.0|259.5|456.0|803.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,520 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017297, BV00007298, BV00009445, BV00010725."", ""Insertar 1 punto consolidado en el centroide (lat=-12.293826, lon=-76.853283).""]"
68,-5.1966902,-80.6280242,agente,NEW_AGENTE_00068,294.5,PIURA,PIURA,PIURA,5,BV00017230|BV00017683|BV00006142|BV00014535|BV00014402,2.0|14.5|33.0|105.5|139.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=294 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017230, BV00017683, BV00006142, BV00014535, BV00014402."", ""Insertar 1 punto consolidado en el centroide (lat=-5.196690, lon=-80.628024).""]"
69,-7.151574199999999,-78.5052812,agente,NEW_AGENTE_00069,162.5,CAJAMARCA,CAJAMARCA,CAJAMARCA,5,BV00015529|BV00016232|BV00003238|BV00009127|BV00017002,2.0|5.0|16.0|64.5|75.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=162 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015529, BV00016232, BV00003238, BV00009127, BV00017002."", ""Insertar 1 punto consolidado en el centroide (lat=-7.151574, lon=-78.505281).""]"
70,-11.989078600000001,-77.0623616,agente,NEW_AGENTE_00070,64.5,LIMA,LIMA,INDEPENDENCIA,5,BV00001450|BV00017549|BV00002925|BV00012127|BV00012000,2.0|3.0|3.5|25.0|31.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=64 ≤ 2,000)."", ""Retirar/absorber códigos: BV00001450, BV00017549, BV00002925, BV00012127, BV00012000."", ""Insertar 1 punto consolidado en el centroide (lat=-11.989079, lon=-77.062362).""]"
71,-14.0413782,-75.70439800000001,agente,NEW_AGENTE_00071,177.5,ICA,ICA,LA TINGUIÑA,5,BV00016671|BV00016623|BV00017020|BV00016624|BV00015378,2.0|9.5|42.0|52.5|71.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=178 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016671, BV00016623, BV00017020, BV00016624, BV00015378."", ""Insertar 1 punto consolidado en el centroide (lat=-14.041378, lon=-75.704398).""]"
72,-12.236828399999998,-76.91658620000001,agente,NEW_AGENTE_00072,199.5,LIMA,LIMA,VILLA EL SALVADOR,5,BV00017136|BV00011600|BV00010677|BV00010599|BV00015287,2.5|26.0|51.0|55.0|65.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=200 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017136, BV00011600, BV00010677, BV00010599, BV00015287."", ""Insertar 1 punto consolidado en el centroide (lat=-12.236828, lon=-76.916586).""]"
73,-12.054041999999999,-75.21381980000001,agente,NEW_AGENTE_00073,95.5,JUNIN,HUANCAYO,EL TAMBO,5,BV00017029|BV00011992|BV00015718|BV00015226|BV00016096,2.5|3.0|27.5|28.5|34.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=96 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017029, BV00011992, BV00015718, BV00015226, BV00016096."", ""Insertar 1 punto consolidado en el centroide (lat=-12.054042, lon=-75.213820).""]"
74,-6.509631019999999,-79.859032,agente,NEW_AGENTE_00074,375.5,LAMBAYEQUE,LAMBAYEQUE,TUCUME,5,BV00012371|BV00015221|BV00017231|BV00017671|BV00016840,2.5|3.5|20.5|44.0|305.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=376 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012371, BV00015221, BV00017231, BV00017671, BV00016840."", ""Insertar 1 punto consolidado en el centroide (lat=-6.509631, lon=-79.859032).""]"
75,-9.095064,-78.563727,agente,NEW_AGENTE_00075,1884.0,ANCASH,SANTA,CHIMBOTE,4,BV00011069|BV00012933|BV00015607|BV00001795,2.5|324.5|560.0|997.0,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,884 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011069, BV00012933, BV00015607, BV00001795."", ""Insertar 1 punto consolidado en el centroide (lat=-9.095064, lon=-78.563727).""]"
76,-17.210331500000002,-70.9451485,agente,NEW_AGENTE_00076,349.5,MOQUEGUA,MARISCAL NIETO,SAN ANTONIO,2,BV00017051|BV00011076,2.5|347.0,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=350 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017051, BV00011076."", ""Insertar 1 punto consolidado en el centroide (lat=-17.210332, lon=-70.945149).""]"
77,-17.998756200000003,-70.2343982,agente,NEW_AGENTE_00077,416.0,TACNA,TACNA,TACNA,5,BV00016827|BV00015160|BV00017437|BV00007238|BV00013418,2.5|36.0|88.0|127.0|162.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=416 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016827, BV00015160, BV00017437, BV00007238, BV00013418."", ""Insertar 1 punto consolidado en el centroide (lat=-17.998756, lon=-70.234398).""]"
78,-16.4016656,-71.566994,agente,NEW_AGENTE_00078,957.5,AREQUIPA,AREQUIPA,CERRO COLORADO,5,BV00015565|BV00017454|BV00006510|BV00017067|BV00007901,2.5|99.0|174.0|305.5|376.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=958 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015565, BV00017454, BV00006510, BV00017067, BV00007901."", ""Insertar 1 punto consolidado en el centroide (lat=-16.401666, lon=-71.566994).""]"
79,-9.1182292,-78.513075,agente,NEW_AGENTE_00079,299.0,ANCASH,SANTA,NUEVO CHIMBOTE,5,BV00013752|BV00015669|BV00014177|BV00012826|BV00011406,2.5|12.5|55.0|111.5|117.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=299 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013752, BV00015669, BV00014177, BV00012826, BV00011406."", ""Insertar 1 punto consolidado en el centroide (lat=-9.118229, lon=-78.513075).""]"
80,-3.5575400000000004,-80.43009980000001,agente,NEW_AGENTE_00080,996.0,TUMBES,TUMBES,TUMBES,5,BV00013442|BV00006709|BV00013132|BV00016755|BV00008222,2.5|88.5|157.5|321.5|426.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=996 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013442, BV00006709, BV00013132, BV00016755, BV00008222."", ""Insertar 1 punto consolidado en el centroide (lat=-3.557540, lon=-80.430100).""]"
81,-4.896618000000001,-80.6870784,agente,NEW_AGENTE_00081,134.5,PIURA,SULLANA,SULLANA,5,BV00013073|BV00016387|BV00011701|BV00011843|BV00017334,2.5|8.5|30.0|37.0|56.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=134 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013073, BV00016387, BV00011701, BV00011843, BV00017334."", ""Insertar 1 punto consolidado en el centroide (lat=-4.896618, lon=-80.687078).""]"
82,-3.7303894,-73.2479392,agente,NEW_AGENTE_00082,104.0,LORETO,MAYNAS,PUNCHANA,5,BV00016523|BV00013111|BV00015016|BV00017409|BV00014937,2.5|12.5|24.5|29.0|35.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=104 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016523, BV00013111, BV00015016, BV00017409, BV00014937."", ""Insertar 1 punto consolidado en el centroide (lat=-3.730389, lon=-73.247939).""]"
83,-11.4960454,-77.2064424,agente,NEW_AGENTE_00083,983.5,LIMA,HUARAL,HUARAL,5,BV00014527|BV00016932|BV00006150|BV00004718|BV00016945,2.5|43.5|237.5|298.0|402.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=984 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014527, BV00016932, BV00006150, BV00004718, BV00016945."", ""Insertar 1 punto consolidado en el centroide (lat=-11.496045, lon=-77.206442).""]"
84,-9.1282314,-78.5209876,agente,NEW_AGENTE_00084,427.0,ANCASH,SANTA,NUEVO CHIMBOTE,5,BV00013619|BV00015640|BV00017332|BV00011170|BV00015668,2.5|43.0|54.5|160.5|166.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=427 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013619, BV00015640, BV00017332, BV00011170, BV00015668."", ""Insertar 1 punto consolidado en el centroide (lat=-9.128231, lon=-78.520988).""]"
85,-9.279189666666667,-76.39953666666666,agente,NEW_AGENTE_00085,446.0,HUANUCO,HUAMALIES,MONZON,3,BV00011127|BV00017687|BV00012188,2.5|3.5|440.0,"[""Consolidar 3 puntos de canal 'agente' por baja transaccionalidad (total=446 ≤ 2,000)."", ""Retirar/absorber códigos: BV00011127, BV00017687, BV00012188."", ""Insertar 1 punto consolidado en el centroide (lat=-9.279190, lon=-76.399537).""]"
86,-12.0037252,-76.8369708,agente,NEW_AGENTE_00086,424.5,LIMA,LIMA,ATE,5,BV00017615|BV00015803|BV00017588|BV00011581|BV00016001,2.5|4.5|4.5|193.0|220.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=424 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017615, BV00015803, BV00017588, BV00011581, BV00016001."", ""Insertar 1 punto consolidado en el centroide (lat=-12.003725, lon=-76.836971).""]"
87,-12.028207799999999,-75.23600719999999,agente,NEW_AGENTE_00087,968.0,JUNIN,HUANCAYO,EL TAMBO,5,BV00017100|BV00013096|BV00016072|BV00015613|BV00016630,3.0|148.5|244.0|278.5|294.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=968 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017100, BV00013096, BV00016072, BV00015613, BV00016630."", ""Insertar 1 punto consolidado en el centroide (lat=-12.028208, lon=-75.236007).""]"
88,-12.219233200000001,-76.9362066,agente,NEW_AGENTE_00088,89.5,LIMA,LIMA,VILLA EL SALVADOR,5,BV00015928|BV00017692|BV00015878|BV00015295|BV00014681,3.0|3.5|15.0|25.0|43.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=90 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015928, BV00017692, BV00015878, BV00015295, BV00014681."", ""Insertar 1 punto consolidado en el centroide (lat=-12.219233, lon=-76.936207).""]"
89,-14.067163399999998,-75.72632760000002,agente,NEW_AGENTE_00089,30.5,ICA,ICA,ICA,5,BV00015329|BV00011838|BV00016346|BV00013740|BV00016879,3.0|5.5|6.0|8.0|8.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=30 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015329, BV00011838, BV00016346, BV00013740, BV00016879."", ""Insertar 1 punto consolidado en el centroide (lat=-14.067163, lon=-75.726328).""]"
90,-12.1829912,-76.9947916,agente,NEW_AGENTE_00090,449.0,LIMA,LIMA,CHORRILLOS,5,BV00006288|BV00017554|BV00001336|BV00006174|BV00005950,3.0|39.0|88.0|102.0|217.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=449 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006288, BV00017554, BV00001336, BV00006174, BV00005950."", ""Insertar 1 punto consolidado en el centroide (lat=-12.182991, lon=-76.994792).""]"
91,-12.072290800000001,-77.046176,agente,NEW_AGENTE_00091,50.0,LIMA,LIMA,JESUS MARIA,5,BV00016984|BV00017169|BV00017556|BV00014104|BV00017347,3.0|5.0|11.5|13.5|17.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=50 ≤ 2,000)."", ""Retirar/absorber códigos: BV00016984, BV00017169, BV00017556, BV00014104, BV00017347."", ""Insertar 1 punto consolidado en el centroide (lat=-12.072291, lon=-77.046176).""]"
92,-11.8704556,-77.02002519999999,agente,NEW_AGENTE_00092,79.0,LIMA,LIMA,CARABAYLLO,5,BV00005789|BV00017709|BV00012712|BV00017640|BV00017345,3.0|10.5|11.0|21.0|33.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=79 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005789, BV00017709, BV00012712, BV00017640, BV00017345."", ""Insertar 1 punto consolidado en el centroide (lat=-11.870456, lon=-77.020025).""]"
93,-11.16011275,-75.9904425,agente,NEW_AGENTE_00093,1223.5,JUNIN,JUNIN,JUNIN,4,BV00017221|BV00015252|BV00011409|BV00000682,3.0|13.5|189.5|1017.5,"[""Consolidar 4 puntos de canal 'agente' por baja transaccionalidad (total=1,224 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017221, BV00015252, BV00011409, BV00000682."", ""Insertar 1 punto consolidado en el centroide (lat=-11.160113, lon=-75.990443).""]"
94,-14.082313199999998,-75.7369212,agente,NEW_AGENTE_00094,166.0,ICA,ICA,ICA,5,BV00012942|BV00009924|BV00015466|BV00016544|BV00011053,3.0|3.0|4.0|6.0|150.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=166 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012942, BV00009924, BV00015466, BV00016544, BV00011053."", ""Insertar 1 punto consolidado en el centroide (lat=-14.082313, lon=-75.736921).""]"
95,-12.050073399999999,-77.1183134,agente,NEW_AGENTE_00095,265.5,CALLAO,CALLAO,CALLAO,5,BV00017676|BV00017081|BV00012791|BV00015478|BV00000877,3.0|4.5|31.5|74.0|152.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=266 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017676, BV00017081, BV00012791, BV00015478, BV00000877."", ""Insertar 1 punto consolidado en el centroide (lat=-12.050073, lon=-77.118313).""]"
96,-13.1730488,-74.2118566,agente,NEW_AGENTE_00096,202.5,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,5,BV00015409|BV00016175|BV00014522|BV00017109|BV00017452,3.0|10.0|19.0|63.5|107.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=202 ≤ 2,000)."", ""Retirar/absorber códigos: BV00015409, BV00016175, BV00014522, BV00017109, BV00017452."", ""Insertar 1 punto consolidado en el centroide (lat=-13.173049, lon=-74.211857).""]"
97,-7.814990019999999,-78.04674179999999,agente,NEW_AGENTE_00097,310.0,LA LIBERTAD,SANCHEZ CARRION,HUAMACHUCO,5,BV00017370|BV00005980|BV00015453|BV00014038|BV00017048,3.5|6.0|82.0|108.5|110.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=310 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017370, BV00005980, BV00015453, BV00014038, BV00017048."", ""Insertar 1 punto consolidado en el centroide (lat=-7.814990, lon=-78.046742).""]"
98,-12.072503000000001,-77.06722679999999,agente,NEW_AGENTE_00098,180.0,LIMA,LIMA,PUEBLO LIBRE,5,BV00017239|BV00017658|BV00008175|BV00007386|BV00007390,3.5|6.5|25.5|57.0|87.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=180 ≤ 2,000)."", ""Retirar/absorber códigos: BV00017239, BV00017658, BV00008175, BV00007386, BV00007390."", ""Insertar 1 punto consolidado en el centroide (lat=-12.072503, lon=-77.067227).""]"
99,-3.77642004,-73.2767916,agente,NEW_AGENTE_00099,151.0,LORETO,MAYNAS,SAN JUAN BAUTISTA,5,BV00014078|BV00017408|BV00012589|BV00013505|BV00017112,3.5|13.0|17.5|29.0|88.0,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=151 ≤ 2,000)."", ""Retirar/absorber códigos: BV00014078, BV00017408, BV00012589, BV00013505, BV00017112."", ""Insertar 1 punto consolidado en el centroide (lat=-3.776420, lon=-73.276792).""]"
100,-7.150779,-78.452545,agente,NEW_AGENTE_00100,37.0,CAJAMARCA,CAJAMARCA,LOS BAÑOS DEL INCA,2,BV00010732|BV00016144,3.5|33.5,"[""Consolidar 2 puntos de canal 'agente' por baja transaccionalidad (total=37 ≤ 2,000)."", ""Retirar/absorber códigos: BV00010732, BV00016144."", ""Insertar 1 punto consolidado en el centroide (lat=-7.150779, lon=-78.452545).""]"
101,-11.9364178,-76.6969894,agente,NEW_AGENTE_00101,385.0,LIMA,LIMA,LURIGANCHO,5,BV00005136|BV00013758|BV00014997|BV00011851|BV00009684,3.5|8.0|99.0|122.0|152.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=385 ≤ 2,000)."", ""Retirar/absorber códigos: BV00005136, BV00013758, BV00014997, BV00011851, BV00009684."", ""Insertar 1 punto consolidado en el centroide (lat=-11.936418, lon=-76.696989).""]"
102,-12.1755994,-76.943319,agente,NEW_AGENTE_00102,605.5,LIMA,LIMA,VILLA MARIA DEL TRIUNFO,5,BV00006389|BV00017445|BV00015294|BV00014097|BV00010336,3.5|7.5|143.0|209.0|242.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=606 ≤ 2,000)."", ""Retirar/absorber códigos: BV00006389, BV00017445, BV00015294, BV00014097, BV00010336."", ""Insertar 1 punto consolidado en el centroide (lat=-12.175599, lon=-76.943319).""]"
103,-6.5621588399999995,-78.6492824,agente,NEW_AGENTE_00103,500.5,CAJAMARCA,CHOTA,CHOTA,5,BV00013180|BV00017472|BV00015019|BV00013677|BV00017065,3.5|62.0|114.0|127.5|193.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=500 ≤ 2,000)."", ""Retirar/absorber códigos: BV00013180, BV00017472, BV00015019, BV00013677, BV00017065."", ""Insertar 1 punto consolidado en el centroide (lat=-6.562159, lon=-78.649282).""]"
104,-12.0351274,-75.2227922,agente,NEW_AGENTE_00104,929.0,JUNIN,HUANCAYO,EL TAMBO,5,BV00012721|BV00017131|BV00013649|BV00001962|BV00015870,4.0|107.5|184.0|298.0|335.5,"[""Consolidar 5 puntos de canal 'agente' por baja transaccionalidad (total=929 ≤ 2,000)."", ""Retirar/absorber códigos: BV00012721, BV00017131, BV00013649, BV00001962, BV00015870."", ""Insertar 1 punto consolidado en el centroide (lat=-12.035127, lon=-75.222792).""]"
